reference	startpos	ref length	number of reads	covbases	% coverage	meandepth	meanbaseq	meanmapq	taxid	superkingdom	kingdom	phylum	class	order	family	genus	species	mean	sd	Coefficient of Variance	pcreads
NR_024884.1	1	1506	23	1506	100.0	18.6813	38.2	7.52	73030	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Azonexaceae	Dechloromonas	Dechloromonas agitata	18.681274900398407	5.97643735189375	0.31991592563986593	0.03
NR_024886.1	1	1525	3	1515	99.3443	2.8223	34.9	4.0	76009	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Eubacteriales Family XII. Incertae Sedis	Fusibacter	Fusibacter paucivorans	2.822295081967213	0.4877798261800819	0.17283090960144631	0.0
NR_024889.1	1	1519	1	1466	96.5109	0.965109	37.5	1.0	43354	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Prauserella	Prauserella rugosa	0.9651086240947993	0.18350468057421168	0.19013888798924117	0.0
NR_024917.1	1	1514	1	1253	82.7609	0.827609	35.5	1.0	1286820	Bacteria	Bacillati	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lacrimispora	Lacrimispora indolis	0.8276089828269485	0.37771994171752776	0.45639903572253554	0.0
NR_024921.1	1	1530	13	1527	99.8039	10.7242	37.7	11.9	81464	Bacteria	Bacillati	Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	Anaeromusa	Anaeromusa acidaminophila	10.724183006535947	3.8687287629166263	0.3607481111203339	0.01
NR_024926.1	1	1509	2	1493	98.9397	1.8118	35.2	6.0	81409	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Eubacterium	Eubacterium aggregans	1.8117958913187542	0.4171203889880664	0.2302248233295509	0.0
NR_024934.1	1	1487	1	1242	83.5239	0.835239	39.5	1.0	887062	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hylemonella	Hylemonella gracilis	0.8352387357094821	0.37096494454315626	0.4441424094490124	0.0
NR_024936.1	1	1510	2	1276	84.5033	1.64238	45.3	1.0	65655	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	Hydrogenophaga palleronii	1.6423841059602649	0.7346159140696161	0.4472863025181937	0.0
NR_024943.1	1	1457	2	1336	91.6953	1.68977	35.3	1.0	28202	Bacteria	Pseudomonadati	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	Peredibacter starrii	1.689773507206589	0.6165068784131056	0.3648458659008509	0.0
NR_024970.1	1	1490	1	1360	91.2752	0.912752	36.4	1.0	92003	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Aromatoleum	Aromatoleum toluclasticum	0.912751677852349	0.282198604585619	0.3091734712004208	0.0
NR_024989.1	1	1371	44	1371	100.0	43.229	39.4	39.1	92485	Bacteria	Pseudomonadati	Thermodesulfobacteriota	Syntrophia	Syntrophales	Smithellaceae	Smithella	Smithella propionica	43.2290299051787	1.4296242128829464	0.0330709297899762	0.05
NR_025019.1	1	1481	2	1472	99.3923	1.94531	37.1	3.0	100174	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium peptidivorans	1.9453072248480756	0.25269631087901817	0.12990046387081775	0.0
NR_025024.1	1	1488	1	1434	96.371	0.96371	42.9	1.0	103815	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus chinjuensis	0.9637096774193549	0.18701159073072998	0.19405386820594575	0.0
NR_025025.1	1	1491	286	1491	100.0	268.913	38.2	18.8	100176	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Papillibacter	Papillibacter cinnamivorans	268.9128101945003	28.761661564296826	0.10695534193218233	0.32
NR_025039.1	1	1516	1	1491	98.3509	0.983509	33.9	1.0	105972	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylosarcina	Methylosarcina fibrata	0.9835092348284961	0.12735313045058164	0.12948849481092004	0.0
NR_025044.1	1	1480	1	1203	81.2838	0.812838	15.3	1.0	112729	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Caloramator	Caloramator viterbiensis	0.8128378378378378	0.3900416480543423	0.47985173659220837	0.0
NR_025076.1	1	1469	1	1237	84.2069	0.842069	40.8	11.0	119981	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Propionibacterium	Propionibacterium australiense	0.8420694349897889	0.364675885747557	0.4330710397438652	0.0
NR_025079.1	1	1523	1	1452	95.3381	0.953381	35.8	1.0	117208	Bacteria	Pseudomonadati	Thermodesulfobacteriota	Desulfomonilia	Desulfomonilales	Desulfomonilaceae	Desulfomonile	Desulfomonile limimaris	0.953381483913329	0.21082037388389946	0.22112908362615624	0.0
NR_025080.1	1	1442	151	1442	100.0	147.06	38.6	33.1	117506	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas denitrificans	147.0603328710125	5.209997260696439	0.03542761776057014	0.17
NR_025082.1	1	1411	1	1400	99.2204	0.992204	40.2	60.0	121290	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Hyphomicrobium	Hyphomicrobium sulfonivorans	0.9922041105598866	0.08794949430184873	0.08864052604279184	0.0
NR_025085.1	1	1483	1	1468	98.9885	0.989885	38.1	31.0	119702	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus granivorans	0.9898853674983142	0.10006161457343052	0.10108404251525713	0.0
NR_025096.1	1	1457	1	1135	77.8998	0.778998	31.9	0.0	123841	Bacteria	Pseudomonadati	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter canadensis	0.7789979409746054	0.41492185882636906	0.5326353729603698	0.0
NR_025100.1	1	1518	29	1518	100.0	28.2029	38.6	3.07	160385	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Thermoclostridium	Thermoclostridium stercorarium	28.202898550724637	2.168389997686426	0.076885359630197	0.03
NR_025104.1	1	1542	1	1287	83.463	0.83463	36.6	15.0	128780	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Stenotrophomonas	Stenotrophomonas acidaminiphila	0.8346303501945526	0.371513833832163	0.4451238009084657	0.0
NR_025125.1	1	1514	1	1321	87.2523	0.872523	33.7	2.0	142877	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Desulfitobacteriaceae	Desulfitobacterium	Desulfitobacterium metallireducens	0.8725231175693527	0.33350641204691905	0.3822321785306854	0.0
NR_025130.1	1	1410	3	1410	100.0	2.95319	43.4	1.0	119858	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sonorensis	2.953191489361702	0.242490971240667	0.08211149602529791	0.0
NR_025142.1	1	1519	1	816	53.7196	0.537196	35.4	1.0	157842	Bacteria	Pseudomonadati	Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfofabaceae	Desulfofaba	Desulfofaba hansenii	0.5371955233706386	0.49861457363497064	0.9281808055778437	0.0
NR_025147.1	1	1522	2	1502	98.6859	1.95466	39.8	5.0	161482	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces thermospinosisporus	1.954664914586071	0.26374424046801936	0.13493066688817662	0.0
NR_025151.1	1	1523	35	1523	100.0	33.6921	39.8	3.97	165813	Bacteria	Bacillati	Bacillota	Tissierellia	Tissierellales	Sporanaerobacteraceae	Sporanaerobacter	Sporanaerobacter acetigenes	33.692055154300725	2.831973651921627	0.08405464252483069	0.04
NR_025180.1	1	1479	1	940	63.5565	0.635565	40.0	1.0	171283	Bacteria	Bacillati	Mycoplasmatota	unclassified Mycoplasmatota class	Mycoplasmoidales	Metamycoplasmataceae	Mycoplasmopsis	Mycoplasmopsis cricetuli	0.6355645706558486	0.4812714900998138	0.7572346104868346	0.0
NR_025211.1	1	1486	1	1332	89.6366	0.896366	24.0	1.0	181073	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	Carnobacterium pleistocenium	0.8963660834454913	0.304785051953149	0.34002296336514964	0.0
NR_025220.1	1	1476	9	1465	99.2547	7.93293	38.6	9.89	185139	Bacteria	Bacillati	Actinomycetota	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	Rubrobacter	Rubrobacter taiwanensis	7.932926829268292	1.4530501878134174	0.18316697217632627	0.01
NR_025258.1	1	1516	5	1516	100.0	4.73087	37.7	4.0	1220589	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus odysseyi	4.730870712401056	0.633391034260886	0.13388466368370094	0.01
NR_025280.1	1	1484	2	1484	100.0	1.99191	41.6	1.0	75697	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Castellaniella	Castellaniella defragrans	1.9919137466307277	0.08955928693172982	0.044961428216064636	0.0
NR_025289.1	1	1453	6	1425	98.073	5.46387	36.7	1.0	888727	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Eubacteriales Family XIII. Incertae Sedis	unclassified Eubacteriales Family XIII. Incertae Sedis genus	[Eubacterium] sulci	5.463867859600826	1.251386859726951	0.2290294882457816	0.01
NR_025296.1	1	1517	3	1501	98.9453	2.27686	29.7	1.0	81858	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium elephantis	2.27686222808174	0.7020630039908174	0.30834672178751305	0.0
NR_025298.1	1	1506	39	1503	99.8008	35.4389	38.3	14.9	82376	Bacteria	Bacillati	Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	Anaeroarcus	Anaeroarcus burkinensis	35.43891102257636	5.9242047344579785	0.1671666697287612	0.04
NR_025299.1	1	1540	1	1481	96.1688	0.961688	32.6	1.0	160799	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus borealis	0.9616883116883117	0.19194765653791426	0.19959445716974203	0.0
NR_025301.1	1	1470	1	1466	99.7279	0.997279	39.2	6.0	83263	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Aminobacter	Aminobacter aminovorans	0.9972789115646259	0.05209303324918801	0.052235169765556866	0.0
NR_025314.1	1	1436	2	1434	99.8607	1.91086	40.5	2.0	1727	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium variabile	1.9108635097493036	0.28978732145630137	0.15165254869214606	0.0
NR_025349.1	1	1503	1	1433	95.3426	0.953426	42.0	1.0	90731	Bacteria	Pseudomonadati	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfomicrobiaceae	Desulfomicrobium	Desulfomicrobium macestii	0.9534264803725881	0.21072357935676167	0.22101712475450996	0.0
NR_025364.1	1	1423	1	1338	94.0267	0.940267	27.7	1.0	103621	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces urogenitalis	0.9402670414617006	0.2369914179934794	0.25204692661040445	0.0
NR_025373.1	1	1503	1	1226	81.5702	0.815702	30.4	1.0	157838	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Heyndrickxia	Heyndrickxia shackletonii	0.8157019294743846	0.38772708407609496	0.47532936979312457	0.0
NR_025375.1	1	1412	1	937	66.3598	0.663598	43.1	1.0	170994	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium paucivorans	0.6635977337110481	0.4724783397412102	0.7119951074862207	0.0
NR_025376.1	1	1498	39	1498	100.0	34.3251	38.8	32.9	108437	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas nitrativorans	34.32510013351135	7.668301939118775	0.22340217244209193	0.04
NR_025390.1	1	1487	1	1348	90.6523	0.906523	39.4	1.0	115544	Bacteria	Bacillati	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Parasporobacterium	Parasporobacterium paucivorans	0.9065232010759919	0.2910994451848532	0.3211163761052498	0.0
NR_025396.1	1	1499	4	1492	99.533	3.6978	30.3	1.0	119206	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Aerococcus sanguinicola	3.6977985323549034	0.5588172103239362	0.15112159449315898	0.0
NR_025403.1	1	1473	1	1034	70.1969	0.701969	39.3	1.0	124225	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Brackiella	Brackiella oedipodis	0.7019687712152071	0.4573932831315088	0.6515863694900507	0.0
NR_025404.1	1	1521	1	1198	78.764	0.78764	42.0	1.0	123899	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella trematum	0.7876397107166337	0.4089784796524755	0.5192456323467574	0.0
NR_025407.1	1	1517	5	1516	99.9341	4.76533	40.4	8.6	52561	Bacteria	Pseudomonadati	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfomicrobiaceae	Desulfomicrobium	Desulfomicrobium norvegicum	4.765326301911668	0.5214301131258586	0.1094217017031301	0.01
NR_025408.1	1	1488	1	1202	80.7796	0.807796	36.8	30.0	126156	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Psychrobacillus	Psychrobacillus psychrotolerans	0.8077956989247311	0.39403274955698186	0.4877876300672122	0.0
NR_025410.1	1	1446	1	771	53.3195	0.533195	15.9	0.0	687861	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bartonellaceae	Bartonella	Bartonella schoenbuchensis	0.533195020746888	0.49889687371000196	0.9356742923277079	0.0
NR_025412.1	1	1466	2	1464	99.8636	1.92769	34.4	39.0	108981	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter schindleri	1.9276944065484312	0.2642082655172286	0.13705920638650287	0.0
NR_025415.1	1	1528	2	1510	98.822	1.93979	36.6	1.0	112900	Bacteria	Bacillati	Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	Sporomusa	Sporomusa acidovorans	1.9397905759162304	0.2830979667170897	0.14594254154646188	0.0
NR_025418.1	1	1534	23	1534	100.0	22.1493	38.3	1.22	112903	Bacteria	Bacillati	Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	Propionispora	Propionispora vibrioides	22.14928292046936	2.0076149378629795	0.09064017761078996	0.03
NR_025420.1	1	1476	1	627	42.4797	0.424797	43.8	0.0	126350	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	Cellvibrio fibrivorans	0.4247967479674797	0.49431211889223575	1.1636438396888995	0.0
NR_025434.1	1	1482	1	1244	83.9406	0.839406	30.5	0.0	136857	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium testudinoris	0.8394062078272605	0.36715586075714385	0.43739950614315687	0.0
NR_025435.1	1	1520	55	1520	100.0	44.5355	38.6	1.29	140314	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Trichococcus	Trichococcus palustris	44.535526315789475	15.110472178586518	0.3392903021161625	0.06
NR_025437.1	1	1490	1	1490	100.0	1.0	40.9	1.0	136093	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Globicatella	Globicatella sulfidifaciens	1.0	0.0	0.0	0.0
NR_025441.1	1	1500	1	1251	83.4	0.834	41.3	1.0	141949	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Thermomonas	Thermomonas haemolytica	0.834	0.37208063642172834	0.44613985182461435	0.0
NR_025450.1	1	1531	10	1304	85.1731	8.23645	41.0	9.3	157592	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Sterolibacterium	Sterolibacterium denitrificans	8.236446766819073	3.608756882642823	0.4381448681464046	0.01
NR_025451.1	1	1430	2	1371	95.8741	1.87622	38.5	1.0	256821	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Gulosibacter	Gulosibacter molinativorax	1.8762237762237761	0.43700475137165906	0.23291718019436172	0.0
NR_025454.1	1	1510	22	1267	83.9073	17.449	38.4	0.955	167643	Bacteria	Fusobacteriati	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Ilyobacter	Ilyobacter insuetus	17.449006622516556	8.329615778245799	0.4773690536340958	0.02
NR_025455.1	1	1531	8	1529	99.8694	7.75114	36.5	46.4	167645	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Propionivibrio	Propionivibrio limicola	7.751143043762247	0.5646831679148369	0.07285159939981589	0.01
NR_025489.1	1	1513	1	1088	71.9101	0.719101	41.9	1.0	171401	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus agarexedens	0.7191011235955056	0.44943820224719316	0.625000000000003	0.0
NR_025498.1	1	1434	128	1434	100.0	121.04	36.5	7.84	130788	Bacteria	Bacillati	Bacillota	Tissierellia	unclassified Tissierellia order	unclassified Tissierellia family	Sedimentibacter	Sedimentibacter saalensis	121.0397489539749	11.880469724946556	0.09815345642747557	0.14
NR_025525.1	1	1475	3	1475	100.0	2.91525	40.5	13.0	185008	Bacteria	Bacillati	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Butyrivibrio	Butyrivibrio hungatei	2.9152542372881354	0.3018662625205872	0.10354714819020143	0.0
NR_025530.1	1	1345	17	1345	100.0	16.7353	39.8	47.4	225992	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas kerstersii	16.73531598513011	1.177159485395568	0.07033984219010347	0.02
NR_025542.1	1	1483	7	1481	99.8651	6.80782	35.2	1.14	223919	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium diolis	6.807821982467971	0.49558350536636914	0.07279619041782145	0.01
NR_025551.1	1	1532	8	1532	100.0	7.22128	39.5	1.0	56760	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Desulfitobacteriaceae	Desulfosporosinus	Desulfosporosinus auripigmenti	7.221279373368146	1.3979624982429508	0.19358931097425658	0.01
NR_025567.1	1	1498	18	1498	100.0	17.2363	37.7	1.83	208479	Bacteria	Bacillati	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster bolteae	17.236315086782376	1.8005236701679777	0.10446105568983852	0.02
NR_025568.1	1	1475	3	1465	99.322	2.66441	36.8	4.33	208480	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Bowdeniella	Bowdeniella nasicola	2.664406779661017	0.7238697120021117	0.2716813804588078	0.0
NR_025576.1	1	1453	1	1423	97.9353	0.979353	39.8	1.0	215590	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella gallinifaecis	0.9793530626290433	0.1421993015037596	0.14519717855584166	0.0
NR_025578.1	1	1497	1	1484	99.1316	0.991316	41.0	60.0	215691	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Thermomonas	Thermomonas brevis	0.991315965263861	0.09278266150978808	0.09359544762813528	0.0
NR_025583.1	1	1447	1	1251	86.4547	0.864547	39.7	1.0	217070	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Stellaceae	Stella	Stella vacuolata	0.8645473393227368	0.3422064251189822	0.3958215005173199	0.0
NR_025594.1	1	1504	1	1254	83.3777	0.833777	40.9	5.0	225084	Bacteria	Bacillati	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix	Erysipelothrix inopinata	0.8337765957446809	0.37228105529705835	0.4464997664806824	0.0
NR_025606.1	1	1512	1	1498	99.0741	0.990741	46.8	60.0	241555	Bacteria	Bacillati	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Helcococcus	Helcococcus sueciensis	0.9907407407407407	0.09577852252582417	0.0966736489045702	0.0
NR_025631.1	1	1406	2	1406	100.0	1.94097	36.8	9.0	270351	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium aquaticum	1.9409672830725462	0.2356859250350274	0.1214270467567785	0.0
NR_025651.1	1	1497	1	1314	87.7756	0.877756	21.3	1.0	160404	Bacteria	Bacillati	Bacillota	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum	Anaerotignum lactatifermentans	0.8777555110220441	0.32756796835538343	0.3731881648614985	0.0
NR_025670.1	1	1483	19	1483	100.0	17.8469	36.6	5.37	411467	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Pseudoflavonifractor	Pseudoflavonifractor capillosus	17.84693189480782	2.430733420800171	0.13619895201748042	0.02
